module,category,file,first_line,matched_patterns
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/tile/torque/TileTorqueBase.java,10,ITickable
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/torque/TileWaterwheelGenerator.java,3,net\.minecraft\.block\.
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/tile/torque/multiblock/TileFlywheelStorage.java,5,ITickable
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/tile/torque/multiblock/TileWindmillBlade.java,6,ITickable
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/tile/warehouse2/TileControlled.java,5,ITickable
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/warehouse2/TileWarehouseBase.java,463,openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/warehouse2/TileWarehouseCraftingStation.java,57,openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/warehouse2/TileWarehouseInterface.java,81,openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/warehouse2/TileWarehouseStockLinker.java,157,openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/warehouse2/TileWarehouseStockViewer.java,105,openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/warehouse2/TileWarehouseStorage.java,170,openGui\(
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/TileAutoCrafting.java,122,openGui\(
automation,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/TileAutoCrafting.java,14,CombinedInvWrapper | InvWrapper
automation,block-entity,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/TileWorksiteBase.java,13,ITickable
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/WorkSiteAnimalFarm.java,448,openGui\(
automation,entity/ai,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/WorkSiteAnimalFarm.java,7,net\.minecraft\.entity\.
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/WorkSiteFishFarm.java,170,openGui\(
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/WorkSiteFishFarm.java,3,net\.minecraft\.block\.
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/WorkSiteQuarry.java,287,openGui\(
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/cropfarm/CropDefault.java,3,net\.minecraft\.block\.
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/cropfarm/CropGourd.java,3,net\.minecraft\.block\.
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/cropfarm/CropStem.java,3,net\.minecraft\.block\.
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/cropfarm/CropTall.java,3,net\.minecraft\.block\.
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/cropfarm/WorkSiteCropFarm.java,100,openGui\(
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/cropfarm/WorkSiteCropFarm.java,4,net\.minecraft\.block\.
automation,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/cropfarm/WorkSiteCropFarm.java,20,CombinedInvWrapper | InvWrapper
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/fruitfarm/FruitCocoa.java,4,net\.minecraft\.block\.
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/fruitfarm/WorkSiteFruitFarm.java,49,openGui\(
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/fruitfarm/WorkSiteFruitFarm.java,3,net\.minecraft\.block\.
automation,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/fruitfarm/WorkSiteFruitFarm.java,11,CombinedInvWrapper | InvWrapper
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/treefarm/ChorusScanner.java,4,net\.minecraft\.block\.
automation,gui/menu,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/treefarm/WorkSiteTreeFarm.java,214,openGui\(
